id	age	gender	rt	aut.flexibility.1	aut.flexibility.2	aut.flexibility	aut.originality.1	aut.originality.2	aut.originality	aut.fluency.1	aut.fluency.2	aut.fluency	bag.appropriateness.1	bag.appropriateness.2	bag.appropriateness	understood	strategy	dat	valids	word.1	word.2	word.3	word.4	word.5	word.6	word.7	word.8	word.9	word.10
R_2dLVrWGEGGXiltd	18	Male	240.047	2.8	2.2	2.5	1.2	0.4	0.8	1	1	3.6	5.32432432432432	3.10810810810811	5.32432432432432	TRUE	TRUE	82.4419495560938	10	balloon	shoe	magic	jazz	tissue	water	slapstick	central	fork	retainer
R_yTIzVMxaSZPaJot	20	Female	232.05	3	3.2	3.1	0.2	1	0.6	1.6	1.6	7.8	4.375	2.65	4.375	TRUE	FALSE	75.7516507059336	10	food	clothes	view	light	fur	box	seeds	knife	alcohol 	instrument
R_2zHAm26Kca3Qlx4	18	Female	121.089	4.2	5.2	4.7	2	2.8	2.4	7.4	7.4	7.4	5.875	3.9	5.875	TRUE	TRUE	76.2645755495344	10	hat	desk	moon	brick	lemon	rabbit	paint	gas	needle	tissue
R_3QQzIzFRO4GTp6I	20	Female	180.981	4.8	5.4	5.1	1.2	2	1.6	6.6	6.6	6.6	5.25	3.75	5.25	TRUE	TRUE	91.7938655663636	9	watermelon	philosophy	aglet	molecule	family	harlequin	rebuttal	cement	impostor	knuckle
R_2Pw01qdfnXeD9FB	28	Male	202.59	5.4	6.8	6.1	2.2	2	2.1	1	1	8.4	5.3	3.175	5.3	FALSE	FALSE	79.3886569816442	10	CAT	BOOK	MUG	NAIL	BAG	MOTORBIKE	TRAMPOLINE	HEADPHONES	CANDLE	COMPUTER
R_3R8dR8ZbHUdXYNc	22	Female	50.075	2	2.2	2.1	1	0.6	0.8	1	1	2.8	5.175	2.825	5.175	TRUE	TRUE	73.8933958467983	9	bag	cube	phone	pillow	sugar	rubberband	cream	shorts	cake	perfume
R_3CUAdWbrs28hvBS	19	Female	39.191	4.4	5.6	5	1.8	1.2	1.5	1.4	1.4	8.4	5.43589743589744	3.43589743589744	5.43589743589744	TRUE	TRUE	83.631408693535	10	Psychology	Log	Notebook	Tea	Painting	Headphones	Pillow	Luggage	Lava	Coconut
R_1CC14aeBb0d3hOR	19	Male	214.198	1.4	1.6	1.5	0	0.2	0.1	1	1	6.25	5.47368421052632	3.05263157894737	5.47368421052632	TRUE	FALSE	75.2333195436568	10	space	glasses	paper	animal	hat	humans	table	fire	cold	dead
R_1g2vEWoJxyfHmbN	21	Female	112.824	4.8	6.4	5.6	2	3	2.5	11.6	11.6	12	5.225	3.275	5.225	FALSE	TRUE	89.0091165545441	10	Wine	Rose	Bicycle	Stalagmite	Toenail	Sourdough	Kohl	Aluminium	Hypnosis	Caffeine
R_zfiHFJV6dSrWpHP	20	Female	65.09	3.2	2.6	2.9	0.8	0.2	0.5	6	6	6	5.4	3.55	5.4	FALSE	TRUE	70.7760451805024	10	stone	space	human	water	air	star	tree	animal	earth	fire
R_3nCXqa30LLEgBd4	19	Female	212.594	2.2	1.8	2	0.6	0.6	0.6	5.8	5.8	5.8	5.82051282051282	4.02564102564103	5.82051282051282	TRUE	FALSE	85.2784796884017	10	laptop	frog	galaxy	dictionary	salt	letterbox	banana	toenail	valley	hexagon
R_1CpFDdiF4aTd1if	18	Female	46.288	1.6	1.8	1.7	0.4	0	0.2	3.4	3.4	3.6	5.17647058823529	2.91176470588235	5.17647058823529	FALSE	TRUE	72.1322685480118	10	apple	bin	table	air	paper	hand	tree	metal	lamp	rubber
R_2f7KOyntLJ6C8PH	18	Female	139.279	5.2	6.2	5.7	0.6	0.8	0.7	10.2	10.2	10.2	5.575	4.025	5.575	TRUE	FALSE	83.6573437998249	9	icecube	camel	parliament	bulldozer	plug	honey	thought	fence	lampshade	tree
R_yX8PewyQZLjUCRz	19	Female	199.764	1.2	1.4	1.3	0.4	0	0.2	2.6	2.6	2.6	5.575	3.7	5.575	TRUE	TRUE	79.475161362262	9	Phone	Pizza	Mountain	Dog	Train	Book	Treadmil	Jumper	Guitar	Sunscreen
R_1jNjr4UK3atqwVi	30	Male	240.152	2.8	3.6	3.2	0.2	0.8	0.5	6.6	6.6	6.6	6.17948717948718	4.05128205128205	6.17948717948718	TRUE	FALSE	81.2626883831053	10	Computer	Desert	Fountain	King	Stalker	Painting	Plastic	Road	Triton	Platypus
R_3fJpUbsHgW04DGh	18	Female	67.474	1	1.2	1.1	0	0.6	0.3	2.2	2.2	2.2	4.56410256410256	2.58974358974359	4.56410256410256	TRUE	FALSE	64.4677057152703	10	ideas	things	thoughts	problems	dreams	goods	shops	books	reasons	tools
R_1oBecgNrwp9YQQu	19	Female	62.006	2.6	3.2	2.9	1.4	0.2	0.8	7	7	7	4.775	3.025	4.775	FALSE	TRUE	74.2638386431195	10	BOTTLE	LAPTOP	PAPER	FORK	RUBBER	WALLET	MIRROR	FINGER	CURTAIN	PIANO
R_3FPXVipCmdpNoLd	19	Female	55.041	2.4	3.2	2.8	0.2	0.4	0.3	5.2	5.2	5.2	4.525	2.8	4.525	TRUE	TRUE	76.3905791654473	9	dog	poop	planet	apple	lips	eclipse 	mug	superman	laptop	paino 
R_2CZk7afe94EGSuu	20	Female	85.611	3.8	5	4.4	0.8	0.8	0.8	1	1	10	5.89473684210526	3.81578947368421	5.89473684210526	TRUE	FALSE	82.4779570102692	10	sadness	broom	toe nail	soil	shallow	nectarine 	shard 	moist	narwhal 	communism 
R_1dtnZJDjL2GcG4W	19	Female	102.201	2.2	3	2.6	0.6	0.4	0.5	1	1	4.2	4.22857142857143	2.08571428571429	4.22857142857143	TRUE	FALSE	78.7354488812742	10	shoe	sun 	chair 	bird 	class 	party 	online 	pen 	cloud 	beach 
R_tDmoYL1i01lK8PD	19	Female	49.832	1.4	1.4	1.4	0	0	0	2	2	2	5.5	3.29411764705882	5.5	FALSE	FALSE	83.8302287716596	10	biscuit	car	biology	laptop	tablet	book	chairs	pen	bottle	water
R_eJdcUSeRWxSC3SN	19	Female	110.566	1.6	2.6	2.1	0	0	0	4	4	4	5.25	3.6	5.25	TRUE	FALSE	79.4461855221362	10	Table	Skates	Keyboard	Needle	Water	Ball	Lotion	Titanium	Guitar	Lab
R_3QFpUT3OifgxTjB	18	Female	38.715	1.4	1.6	1.5	0	0.2	0.1	5.4	5.4	5.4	4.7	2.425	4.7	TRUE	TRUE	77.392971905924	10	Table 	Doctor 	Fence	Laptop	Scarf	Cow 	Sleep 	Shoe 	Journal 	Eyes
R_1jEbs43YurPKyIi	19	Male	92.186	2.8	3.8	3.3	0.2	0.8	0.5	4.6	4.6	5	4.64102564102564	2.61538461538462	4.64102564102564	TRUE	FALSE	83.7155803860653	10	Cat	Pizza	Phone	Duvet	Hinges	Blades	Water	Theory	Demand	Dark
R_9vNfEYmmEmPXVwB	18	Female	112.654	2	2	2	0	0.4	0.2	1	1	2.8	4.45945945945946	2.27027027027027	4.45945945945946	TRUE	FALSE	81.8367836198637	9	Shoes	Pet	Equipment	Hip hop	Cup	Dinosaur 	Jewellery 	Depression	Development	Word
R_W6WJXdYE6bk1FGV	18	Male	89.777	1.6	1.6	1.6	0.6	1	0.8	1	1	2.4	5.025	3.025	5.025	TRUE	FALSE	84.2300421181357	7	book	television	shoe	mobile phone	baskeball	body builder	hometown	mother	Christmas	holiday
R_291f1fe4TC8J4zt	18	Male	76.742	2.8	4	3.4	0.8	0.8	0.8	6.8	6.8	6.8	4.66666666666667	2.77777777777778	4.66666666666667	FALSE	FALSE	75.9087122267201	9	shoes	books	detention	bags	pencils	pens	boards	music player	woods	laptop
R_21vqKr07VVUcgH2	18	Male	240.125	6.6	6.6	6.6	2.8	1.6	2.2	1	1	10.4	5.05128205128205	3.12820512820513	5.05128205128205	TRUE	FALSE	93.0530111726728	10	Pedantry	Armadillo	Responsibility	Furniture	Tether	Electron	Lifeboat	Obfuscation	Greenness	Seasoning
R_2rqkwTUF0E8SejO	20	Female	31.252	1.2	1.2	1.2	0	0.2	0.1	1	1	1.6	5.15384615384615	3.15384615384615	5.15384615384615	FALSE	TRUE	58.8511947365034	10	cat	dog	apple	pear	orange 	kiwi	banana	pink	yellow	green
R_tLHdWgKEjBrVHUt	18	Female	40.249	2.6	3.2	2.9	0.4	0.6	0.5	3.6	3.6	3.6	6.06451612903226	4.2258064516129	6.06451612903226	TRUE	TRUE	72.9937532827968	10	cat	toy	food	shirt	plane	house	pencil	glasses	picture	movie
R_3PMg1R8EzgXmKUq	19	Female	NA	2.4	2	2.2	0.8	0.2	0.5	1.2	1.2	1.6	5.66666666666667	3.83333333333333	5.66666666666667	TRUE	TRUE	79.2346715572335	10	apple	pen	container	electricity 	steel 	number 	clothes 	door	lipstick 	visa 
R_3nqJQTCtUVeuxrn	19	Female	44.443	3	2.6	2.8	0	0.4	0.2	4.2	4.2	4.6	4.5	2.85	4.5	FALSE	FALSE	72.7764140637148	10	music	art	science	commerce	building	sky	grass	computer	hotel	novel
R_4Zrk1LO70CeD7Zn	18	Female	76.105	1.4	1	1.2	0	0	0	2.4	2.4	2.4	4.875	3.425	4.875	TRUE	FALSE	82.4334417425451	9	chair	head	alley	deadline	puppet	powerpoint	carbon	church	flower	prison
R_29n1PT9ai92BbUe	18	Female	102.792	2.2	2	2.1	0	0	0	1.2	1.2	2.6	5.53846153846154	3.74358974358974	5.53846153846154	TRUE	FALSE	83.6041221095781	10	paper	food	family	earphones	pins	friends	album	music	sunset	camera
R_viaSaxBxkdQhma5	18	Female	58.101	2.4	2.4	2.4	0.6	1	0.8	5.2	5.2	5.2	4.75	2.86111111111111	4.75	TRUE	FALSE	75.6899423897266	10	cup	bed	book	shoe	spring	spoon	moon	plane	motherhood	glass
R_yJ9uEZEOsJpZT69	20	Female	72.532	2	2	2	0	0.6	0.3	3.8	3.8	3.8	5.35897435897436	3.53846153846154	5.35897435897436	TRUE	FALSE	76.4340213012128	10	Pillow	Cat	Car	Flame	Bread	Toothbrush	Brick	Wall	Sweater	Stairs
R_b8CJfDZQpYzPKyl	21	Female	115.348	4	5	4.5	0.8	0.8	0.8	1.4	1.4	7.6	5.63157894736842	3.57894736842105	5.63157894736842	TRUE	FALSE	82.1531449067628	10	bottle	photograph	ring	airplane	eyeball	hotel	bacteria	comet	lava	mango
R_1F9tvmTHLJq2mqt	19	Female	94.568	0	0.2	0.1	0	0	0	9.2	9.2	9.2	4.76923076923077	2.76923076923077	4.76923076923077	TRUE	TRUE	73.5314877260299	10	milk	toy	women	country	money	room	plastic	bone	ash	star
R_3n1bJ3fDjYR7smY	19	Female	NA	3.6	3.4	3.5	1.6	0.4	1	1	1	2.4	4.05263157894737	2.05263157894737	4.05263157894737	TRUE	FALSE	75.6224715993518	10	Sky	Fish	Rice	Name	Wall	Plate	Gun	Weather	Mountain 	Cloth
R_1nUeV7DyYS38BCy	20	Female	198.704	2	2.6	2.3	0.2	0.4	0.3	3.6	3.6	3.6	5.26315789473684	3.36842105263158	5.26315789473684	TRUE	FALSE	73.180546221279	10	water	shoe	sky	computer	bag	hair	ring	light	car	farm
R_2WwM2eMbGsjT3Dw	19	Female	154.023	2.2	2	2.1	0.8	1	0.9	1	1	3	4.13157894736842	2.36842105263158	4.13157894736842	TRUE	TRUE	71.6538578271866	10	trees	materials	animals	buildings	vegetables	cars	planets	books	tools	inventions
R_1OqMPsEWhkYnW5Q	19	Female	110.559	2.2	1.8	2	0	0.2	0.1	3	3	3.6	5.7037037037037	3.03703703703704	5.7037037037037	TRUE	FALSE	77.0078312783014	10	pen	road	bottle	computer	country	poster	gun	lipstick	knife	plane
R_3HCCfZk84swdvM7	19	Female	42.701	3.2	2.8	3	0.6	0.8	0.7	3.8	3.8	3.8	5	3	5	FALSE	TRUE	72.8668626930032	9	chair	school	earphone	cat	dog	sleep	food	hamburger	korea	music
R_1LebZ1Hi3nl8tlj	18	Female	78.301	0.8	0.6	0.7	0	0	0	1.2	1.2	1.2	7	7	7	TRUE	TRUE	74.7043035924435	9	High heels 	Light	Computer 	Pen	Air	School	Criminal	Children	Piano	Policemen 
R_2dhfT7nYCvvUelS	19	Female	59.909	1.6	1	1.3	0	0	0	3	3	3	4.88571428571429	2.31428571428571	4.88571428571429	TRUE	FALSE	79.8847689248976	10	bank	fruit	foot	bag	chopsticks	book	hanger	fireworks	star	computer
R_30jlHwfRrIkzt88	18	Female	127.202	1.6	1.4	1.5	0.4	0.4	0.4	4	4	4	4.48717948717949	2.61538461538462	4.48717948717949	TRUE	FALSE	81.4727046615666	10	subject	number	words	clothes	adjective	felling	size	sports	playing	height
R_Wjpcfpb5tORgYBH	18	Female	68.243	1	1.8	1.4	0	0	0	1.4	1.4	2.6	4.975	3.075	4.975	TRUE	TRUE	76.6446827777794	10	Cat	Dishwasher	Sock	Wood	Jeans	Leaf	String	Toothpaste	Fire	Nail
R_2wuac7DOR7Jco7U	19	Female	124.703	1.8	1.8	1.8	0	0	0	2.4	2.4	2.4	4.97368421052632	3.18421052631579	4.97368421052632	TRUE	TRUE	71.2716405590375	10	shirt	cat	apple	desk	wall	sky	flower	book	chromosome	confidence
R_VOwZbs3BakIwyvn	19	Female	182.167	3	2.4	2.7	0.8	0.6	0.7	4.6	4.6	4.6	4.21052631578947	2.21052631578947	4.21052631578947	TRUE	TRUE	72.2201189114934	10	shoes	food	eyes	tree	light	space	knowledge	bed	kiss	sponge
R_U9LfgDfj4OFFz1f	18	Male	115.915	2.6	3	2.8	0	0	0	1.6	1.6	4.6	5.675	4.05	5.675	TRUE	TRUE	81.3091480661006	10	Foot	Glue	Cat	Virus	Mountain	War	Violet	Democracy	Football	Gravity
R_24DjXn8SlPjOe7z	21	Female	156.36	1.6	1.6	1.6	0	0.2	0.1	3	3	3	4.55555555555556	2.36111111111111	4.55555555555556	TRUE	TRUE	83.7121562655306	9	pen	nail	chair	weather	psychology	physicist	dream cather	soap	opera	university
R_2dXdbUQg8NYeV2L	19	Female	114.588	4	4.6	4.3	0.6	2	1.3	8.2	8.2	8.2	5.38461538461539	3.64102564102564	5.38461538461539	TRUE	FALSE	77.9130972212269	10	Boat	Country	Board	Sheet	Tissue	Planet	Key	Colour	Glass	Program
R_erCr0YvuEsbwTOV	18	Female	139.786	2.6	2.6	2.6	0	0.4	0.2	3.4	3.4	3.4	5.33333333333333	3.46153846153846	5.33333333333333	TRUE	TRUE	80.7827878496721	10	Cat	Homework	Building	Dirt	Shorts	Eyeliner	Ball	Airplane	Pear	Dishwasher
R_Cm26V4GQNcjFcqZ	19	Male	31.001	2.4	2.4	2.4	1	0.6	0.8	3.6	3.6	3.6	4.05	2.025	4.05	FALSE	TRUE	75.1001499593258	10	happiness	sadness	face 	nose 	toe	book	shelf	tree	sky	star
R_233q3VCPnsmQ6xN	18	Female	110.552	0	0.6	0.3	0	0	0	1	1	15.4	4.7	2.9	4.7	TRUE	FALSE	75.3560217363494	10	sun	table	children	rabbit	red	computer	cup	fire	highlighter	happy
R_1nPIZgz7bBOf0rv	19	Female	62.049	0	0.8	0.4	0	0	0	9	9	9	4.97297297297297	3.08108108108108	4.97297297297297	TRUE	FALSE	75.5539797601246	10	man	pen	room	fruit	shoe	city	fish	lecture	biology	website
R_29cXtHxG4EjCFvB	19	Male	115.638	3.2	2.6	2.9	0.8	0.8	0.8	1	1	4.4	5	3.28947368421053	5	TRUE	FALSE	73.0756529739925	10	father	sky	star	earth	ground	line	data	passport	tiger	good
R_22E4cpwNemYjEjK	18	Female	126.322	1.2	1.6	1.4	0	0.2	0.1	1	1	1.6	5.225	3.425	5.225	TRUE	TRUE	85.6523393697682	10	blankets	abstract	knife	basketball	donkey	taco	river	see-saw	foot	television
R_1o7PLrxSTHpVbUt	18	Female	49.175	2.6	3.2	2.9	0.4	0.8	0.6	4.4	4.4	4.4	NA	NA	NA	FALSE	TRUE	78.2817606769857	8	cat	watch	drink bottle	phone	bag	chair	book	leggings	rings	lipbalm
R_yVe3d30IVCQbwXL	19	Female	56.937	3.6	4.2	3.9	0.8	0.4	0.6	6	6	6	4.63157894736842	2.76315789473684	4.63157894736842	TRUE	TRUE	71.9517905797277	10	Orange	Candy	People	Wood	Underwear	Furniture	Sock	Cable	Nest	Eyeball
R_1FR4wFKoFkRhrmc	19	Female	39.561	0.8	0.8	0.8	0	0	0	6.4	6.4	6.4	4.63157894736842	2.21052631578947	4.63157894736842	TRUE	FALSE	57.1310530815806	10	study	life	friends	family	world	freedom	love	dog	cup	phone
R_0lk8VMw4UcCIN4B	21	Female	45.917	1.6	1.4	1.5	0	0	0	1.6	1.6	1.6	4.125	2.05	4.125	TRUE	FALSE	75.897289670649	10	pen	apple	mouse	cloud	grass	car	paper	dog	water	fire
R_Xwc5xt8gby781Ql	19	Female	138.445	1.2	1.6	1.4	0.4	0	0.2	4	4	4	4.86486486486486	2.48648648648649	4.86486486486486	TRUE	TRUE	79.6617053005667	10	lion	computer	hair	toner	wall	pool	bus	trainer	gym	pillow
R_2ZDGlR1nSHl1d9P	21	Female	58.94	1.6	2	1.8	0.2	0.2	0.2	2.4	2.4	2.4	6	1	6	TRUE	TRUE	82.8802921498815	10	apple	cup	dogs	umbrella	buildings	confidence	show	clips	sofa	tears
R_301R6BxsKNSw7SW	19	Male	134.925	1.4	1.4	1.4	0	0	0	3.8	3.8	3.8	5.34375	3.53125	5.34375	FALSE	FALSE	73.8376635880697	10	sun	phone	book	hair 	water	air	job	bank	map	guitar
R_3fuyQ4J54KJS4FH	18	Female	78.38	3.6	4.2	3.9	0.6	0.8	0.7	6.4	6.4	6.4	4.26666666666667	2.23333333333333	4.26666666666667	FALSE	FALSE	83.2226382834571	10	RABBIT	socks	homework	turner	lipstick	summer	politician	myself	laptop	pizza
R_3CUyzsWdjShyv39	18	Female	240.039	2.8	3.4	3.1	0.2	0.8	0.5	1.4	1.4	6.6	5.15789473684211	3.39473684210526	5.15789473684211	TRUE	FALSE	81.0437081647771	10	burger	rabbit	harm	clouds	male	tree	chair	fanatic	statement 	severity
R_11XB46TLEcjuxQ8	18	Female	42.042	3	3	3	0.6	0.6	0.6	1	1	6	4.55	2.45	4.55	TRUE	FALSE	80.1634048865665	10	shoe	hair	apple	kitchen	orchestra	girl	lightbulb	crystal	walls	atmosphere
R_1CEDW1q00hAb8Av	18	Female	62.594	1.2	1.4	1.3	0.4	0	0.2	1	1	2.5	4.25714285714286	2.2	4.25714285714286	TRUE	TRUE	81.4236095441239	7	apple 	diswasher	shoes	conception	belief	basketball player	riligion	king	zone	monkey
R_1PbYlzUAz9XJ23C	19	Male	184.078	3	2.6	2.8	0.2	0.2	0.2	1	1	3.6	5.16216216216216	2.83783783783784	5.16216216216216	FALSE	FALSE	85.2631354305361	8	apple	wallet	headphone	tissue	melbourne uni	indian food	fibre	coat hanger	shoes	tram
R_3DcCkzoxRD2YZPE	18	Female	186.382	2	1.6	1.8	0	0	0	2	2	3.8	4.975	3.4	4.975	TRUE	FALSE	79.275395827634	10	Physics	apple	wood	heart	fairies	death	sound	mile	jeans	sadness
R_2uCicKXIkKG79MW	19	Female	62.047	1.4	1.2	1.3	0	0.2	0.1	1	1	1.6	4.96666666666667	3.1	4.96666666666667	FALSE	TRUE	74.4812034780071	8	Shoe	Keys	Clothes	Pencil case	Bottle	Phone	glasses	papers	photo frame	files
R_AhT1mludyP6UnAd	19	Female	217.979	1.4	1.4	1.4	0	0.2	0.1	4.8	4.8	4.8	4.55263157894737	2.5	4.55263157894737	TRUE	TRUE	78.3528095732132	10	pizza	pillow	train	germ	hair	earth	air	electricity	handbag	pigment
R_3Rw1g1hXlg7W0nn	20	Female	202.936	3.2	3.4	3.3	0.6	0	0.3	1.8	1.8	5.2	5.25641025641026	3.66666666666667	5.25641025641026	TRUE	TRUE	78.4984501699606	10	water	pencil	cat	cello	ribbon	mountain	ghost	maze	neuron	book
R_22lHaEws9216EUz	20	Female	73.474	1.4	1.2	1.3	0.2	0	0.1	2	2	2	4.28205128205128	2.05128205128205	4.28205128205128	TRUE	FALSE	77.5491895242816	8	Pillow	Car	Medicine 	Chopsticks 	Lighter	Compuet	Desk	Glasses	Handcream	Tissue
R_3rGvtH3AH8KTTd7	20	Female	90.077	1.8	1.8	1.8	0	0	0	2.4	2.4	2.4	4.75	2.85	4.75	TRUE	TRUE	61.9465027536665	10	bread	candy	cake	fish	grass	flower	toy 	pen	shoe	hand
R_1eKIO2quBT8DWFI	29	Female	171.551	3.2	3.4	3.3	1.8	1.2	1.5	6	6	6	5.24324324324324	3.13513513513514	5.24324324324324	TRUE	FALSE	77.1173072180578	9	Gum	Headphone	Paper	Cat	Hair	Smile	Drinks	Gun	Garbage 	Bennies
R_r2XLdtfAvQXFDpf	19	Female	102.365	3.8	4.2	4	1	0.6	0.8	1.6	1.6	8.2	5.66666666666667	3.48717948717949	5.66666666666667	TRUE	FALSE	76.0589083745366	9	white	dog	school	wind	knive	grandmother	jeans	metal	moon	witch
R_dfXeHNzUglqgmeB	19	Female	85.348	1.8	1.8	1.8	0.4	0	0.2	1	1	3	5.35897435897436	3.07692307692308	5.35897435897436	FALSE	FALSE	75.9012744008076	9	Rulers	Papers	Rubbers	Pens	Pencils	Book	Pens	Pins	Laptop	Keyboard
R_3p2N5TyLOObYorw	20	Female	240.054	3.8	4.4	4.1	1.2	1	1.1	1.2	1.2	7.2	5.45	3.675	5.45	TRUE	FALSE	86.3887581686001	10	apple	planet	mole	song	button	driller	thumb	symbol	board	wool
R_1gI7dQgzYhSYXSh	35	Female	73.067	2	3	2.5	0.2	0.8	0.5	1	1	4.6	4.9	3.2	4.9	TRUE	TRUE	78.8284711539745	10	history	eye	founder	poster	window	bed	theatre	hammer	tree	food
R_em0gB0n8x6RoB33	18	Female	102.94	5	5.6	5.3	1.2	1.4	1.3	1	1	8.4	5.15789473684211	2.86842105263158	5.15789473684211	TRUE	TRUE	80.5448981001973	8	orange	sandal	chair	bag	lego	laptop	planet	nitrogen	tutorial	plushie
R_A4fO3VhF5QPcc4F	20	Male	83.594	2.4	2.2	2.3	0	0.8	0.4	7.8	7.8	8	4.28205128205128	1.97435897435897	4.28205128205128	TRUE	TRUE	80.4645355258669	10	elephants	banana	sky	shooting	crabs	children	soundtrack	football	handclap	television
R_30i8zRM2YXMXICb	47	Female	87.534	2.2	2	2.1	0	0	0	1	1	5	5.45945945945946	3.54054054054054	5.45945945945946	TRUE	TRUE	81.2336368863249	9	Atom	Concept	Cloud	Homosapian	Botany	Pharmacy	Child	Thing	Hope	Meaning
R_2B5Sfae5sbRFfgc	19	Female	77.625	1.4	1.6	1.5	0	0.2	0.1	1.8	1.8	1.8	4.25	2.475	4.25	TRUE	TRUE	79.3745912966274	9	umbrella 	fountain 	spring 	July 	river 	colour 	wonderland 	fiction 	tennis 	confidence 
R_2zYHFdB6hKj47rq	20	Female	79.242	1.8	2	1.9	0	0.2	0.1	1.6	1.6	3.2	5.25	2.925	5.25	FALSE	TRUE	78.5586141759441	10	apple	phone	cup	paper	ear	chair	stair	cloth	window	street
R_1hWigBf9VzKYmK0	19	Female	240.116	2.2	2	2.1	0.4	0.2	0.3	3.2	3.2	3.2	5.45945945945946	3.16216216216216	5.45945945945946	TRUE	FALSE	84.6340820104593	9	universe	elevater	dumpling	tree	ash	battery	child	eye	wind	webpage
R_31H5WeZvUkV9qC8	18	Female	148.733	2.8	3.2	3	1.4	0.8	1.1	1	1	7	5.725	3.675	5.725	TRUE	TRUE	81.7859676710907	10	tree	stapler	photo	hairdryer	scarf	door	wand	boat	potato	eye
R_cUwluKqTQjmucQ9	18	Female	37.878	2.2	2.6	2.4	0.6	0.8	0.7	1	1	4	4.64102564102564	2.38461538461538	4.64102564102564	TRUE	TRUE	73.9907606726601	10	happy	fly	computer	finger	mirror 	bottle 	cake	mouse	rainbow 	paper
