id	age	gender	country	multilingual	aut.originality.1	aut.originality.2	aut.originality	dat	problems.questions.1	problems.questions.2	problems.questions	problems.cra	problems.combined	word.1	word.2	word.3	word.4	word.5	word.6	word.7	word.8	word.9	word.10
R_DCa54ivl0WALgl3	35	Female	Australia	FALSE	NA	NA	NA	79.4774682571491	NA	NA	NA	0	NA	rose	water	rake	hose	boat	diamond	tablet	cord	coffee	lace
R_3FUOc2nN3NdPuO5	55	Male	Australia	FALSE	0.5	0	0.25	69.7281073246683	0	0	0	1	1	tree	car	rock	lake	fish	frige	broom	house	fig	rope
R_1gcFCyOUCFwS5m2	70	Male	Australia	FALSE	NA	NA	NA	83.7777085934899	NA	NA	NA	1	NA	spider	parachute	soil	circle	book	tile	hail	post	letter	scrub
R_3LXab4NjOUC4Yfv	35	Female	Australia	FALSE	NA	NA	NA	88.254840813932	NA	NA	NA	0	NA	Shoe	Quasar	Oil filter	Jellybean	Sand	Custard	Hammer	Radio	Knife	Spiderweb 
R_2TZwnp0T7WpcijF	18	Male	Australia	FALSE	NA	NA	NA	79.7289529194435	NA	NA	NA	1	NA	Pizza	Phone	Wacom	Bottle	Website	Sunscreen	Soccer	Wallet	Notebook	Glasses
R_12kXHSsbh5g2mCr	55	Male	Australia	FALSE	NA	NA	NA	81.0183455191907	NA	NA	NA	2	NA	tree	planet	human	microscope	faeces	typewriter	stone	numbers	wifi	soil
R_3MfhfWWjR3kqHYe	35	Male	Australia	FALSE	NA	NA	NA	86.7890649918644	NA	NA	NA	1	NA	chair	tree	cat	star	vacuum	waterspout	siren	sensibility	sink	nitrogen
R_2Pp27PaBjJSn7BH	55	Male	United Kingdom of Great Britain and Northern Ireland	FALSE	1.5	1.5	1.5	69.7913931239219	1	1	1	2	3	golf club	ant	rock	jelly	concrete	lake	mountain	tree	insect	dinosaur
R_1rpKdO2VFsECVps	35	Female	United Kingdom of Great Britain and Northern Ireland	FALSE	NA	NA	NA	81.2755801138424	NA	NA	NA	0	NA	shoe	umbrella	galaxy	child	sushi	desert	car	mother	novel	ocean
R_2fdoGhKzg5OUAG5	18	Female	Australia	FALSE	NA	NA	NA	85.616565026742	NA	NA	NA	0	NA	green	peace	abseiling	pillow	kangaroo	tent	calculus	guitar	splinter	hungry
R_2tJ4A9kbLQSjUAa	55	Male	New Zealand	FALSE	NA	NA	NA	71.9182713578145	NA	NA	NA	1	NA	Cloud	magna	black-hole	photon	light	happy	ill	sad	dead	heat
R_Z33ZtRwlUuIYOZP	35	Male	Denmark	TRUE	NA	NA	NA	70.5205572857743	NA	NA	NA	0	NA	Water	Sun	shirt	car	vacuum	sand	life	thought	numbers	physics
R_3EQ11dj98w2n7aS	35	Male	Australia	FALSE	NA	NA	NA	71.392720866771	NA	NA	NA	1	NA	Door	Foot	Table	Horse	Lamp	Battery	Bucket	Roof	Tree	Car
R_6orvuRkCEc3lhtf	55	Male	Australia	TRUE	NA	NA	NA	76.3798815153894	NA	NA	NA	1	NA	arrow	cat	sky	egg	hair	wheat	electricity	ship	planet	tears
R_3scWCVQ3MznxCJk	55	Male	Australia	FALSE	NA	NA	NA	76.3347339772043	NA	NA	NA	1	NA	fear	door	ship	circus	bike	ice	fish	peg	planet	atom
R_33q0vnEsykemeek	35	Male	Australia	FALSE	NA	NA	NA	79.9440493186315	NA	NA	NA	1	NA	star	baby	cloud	pencil	chocolate	lava	football	wood	glass	beanie
R_O7pdc76MUdM43xn	26	Female	Australia	FALSE	NA	NA	NA	86.4150264921288	NA	NA	NA	0	NA	ice 	hand sanitiser	watch	nail polish	bread crumbs	telephone	highlighter	xray	drawer	shower
R_1FqUrra95OmdBB7	35	Male	Australia	TRUE	NA	NA	NA	84.180011855261	NA	NA	NA	1	NA	fart	window	yellow	sadness	astrophysics	elephant	marble	chlorophyll	dirty	freedom
R_1PY6SjnY83wwaiM	55	Female	Australia	FALSE	NA	NA	NA	78.3380722360952	NA	NA	NA	0	NA	summer	winter	food	pregnancy	teeth	kettle	farting	toenail	stars	polkadots
R_yEF5hwPI9VtDgqt	18	Male	United Kingdom of Great Britain and Northern Ireland	FALSE	NA	NA	NA	75.9807840699241	NA	NA	NA	2	NA	Paper	House	Bicycle	Internet	Gun	Island	Open	Prison	Ice	Test
R_06CAKhLwn7S4vnP	26	Female	Hong Kong (S.A.R.)	TRUE	NA	NA	NA	82.3180646059059	NA	NA	NA	0	NA	cheese	dog	snake	computer	whiteboard	receipt	business card	program	glasses	school
R_2UfjiamN1gBL8Hh	26	Male	Australia	FALSE	NA	NA	NA	74.2846310493492	NA	NA	NA	1	NA	Vase 	Moon 	Chair	Wood	Toilet	Spatula	Brick	Pole 	Cat	Muscle
R_1DHV1n2SbfrQXfM	55	Female	Australia	FALSE	NA	NA	NA	76.1065307827223	NA	NA	NA	1	NA	doll	tractor	soil	air	fire	cup	plate	fork	spoon	knife
R_2SHKa8KLLjQKnQY	35	Female	Australia	TRUE	NA	NA	NA	89.7230308635959	NA	NA	NA	2	NA	Phoenix	Cloud	Bearer	Lava	Xylophone 	Toothbrush 	Enzyme	Sunflower 	Wave	Pitch
R_1LwM7qtXu7gVyn3	26	Female	Australia	FALSE	NA	NA	NA	79.0781126579358	NA	NA	NA	0	NA	brick	rainbow	steeple	moon	round	keys	band	sticker	fabric	flame
R_7UwAzJ8K9ynjWHT	35	Female	New Zealand	FALSE	NA	NA	NA	86.1102951224893	NA	NA	NA	0	NA	Blanket	Cloud	Cat	Vehicle	Juice	Neutron	Career	Rose	Ocean	Boy
R_1lyp80n9YTPykpt	35	Male	Australia	FALSE	NA	NA	NA	81.5936843731574	NA	NA	NA	2	NA	fried	death	compost	hatred	discovery	war	nutty	castle	demonic	donkey
R_2YnxjS3rNEjLmKS	35	Male	France	TRUE	NA	NA	NA	84.5696535704303	NA	NA	NA	2	NA	plate	tooth	submarine	schedule	rotisserie	broom	tube	ice	book	chili
R_1k2poIWnTtXC1ge	26	Male	Australia	FALSE	NA	NA	NA	86.0840729304722	NA	NA	NA	1	NA	Rhinoceros	Deskchair	Galaxy	Microchip	Typo	Brakelight	Soda	Bacteria	Toenail	Dragon
R_1DU3z27oPXXekjZ	55	Male	Australia	TRUE	NA	NA	NA	76.4938454897631	NA	NA	NA	2	NA	cat	water	fire	cloud	cancer	chair	helicopter	planet	crossword	love
R_2Ezb9S538oIIqte	35	Male	Yemen	TRUE	NA	NA	NA	78.5701499276218	NA	NA	NA	0	NA	House	Flower	Pencil	Anemone	Silk	Star	Dice	Pepper	Number	Air
R_s6StnGxNkuE9atX	18	Male	Australia	FALSE	NA	NA	NA	86.4455663726576	NA	NA	NA	1	NA	Xylophone	Aardvark 	Space	Time	Computer	Eel	Ring	Matter	Plant	Psychologist
R_2waGiVCvb13AkOa	35	Female	Australia	FALSE	0.5	0	0.25	82.8005595664893	1	1	1	1	2	floor	game	amber	hair	road	bark	skyscraper	iguana	bottle	chasm
R_3R2fvMEFjf6b35S	18	Male	Australia	FALSE	NA	NA	NA	74.0261346101761	NA	NA	NA	0	NA	Table	Flower	Dirt	Car	Jacket	Tv	Fridge	Window	Necklace	Umbrella
R_25XgDEWMQM3SwlR	35	Male	Australia	FALSE	1	1.5	1.25	81.8145940745516	1	1	1	2	3	Bones	Plastic	Waves	Stardust	Digestive 	Alacraty	Fuel	Trees	Wheel	Carrot
R_2upkvUlDy5X9kCg	26	Female	Australia	FALSE	0.5	1	0.75	73.5885985550426	1	1	1	2	3	Dark	Shallow	Iridescent	Fuzzy	Stale	Boiling	Torn	Stolen	Solid	Soiled
R_2WUS8E4oHEks3To	26	Male	Australia	FALSE	NA	NA	NA	80.1728533669597	NA	NA	NA	0	NA	bean 	thatch	plumbing	soil	microbe	sense	rich	moral	hanging	green
R_2zbC6fFgAtse9ff	55	Female	Argentina	TRUE	NA	NA	NA	82.3800197492043	NA	NA	NA	0	NA	Woman	Snail	Pier	Moss	Road	Button	Pot	Air	Music	Dirt
R_Do8p7BIWabPgVfb	65	Female	Australia	FALSE	NA	NA	NA	79.4924625506004	NA	NA	NA	2	NA	chair	leaf	toilet	sky	television	train	trousers	lipstick	cot	toy
R_ugMJmI8xGU9C001	65	Female	United Kingdom of Great Britain and Northern Ireland	FALSE	0	1.5	0.75	73.6719056963921	2	2	2	2	4	knife	brick	staff	shield	coat	block	armour	gun	bomb	sheath
R_1l4dKTfNYRySBV5	55	Female	Australia	FALSE	NA	NA	NA	70.4592677099364	NA	NA	NA	1	NA	turtle	frog	tree	cloud	nose	beer	water	grapes	sky	helicopter
R_2uqvDNIpZHIa208	35	Male	United Kingdom of Great Britain and Northern Ireland	TRUE	NA	NA	NA	84.9222040956929	NA	NA	NA	0	NA	fish	cane	bus	outrage	genius	stumps	blood	disgrace	knickers	restaurant
R_3r5CMd1oxtYLF7z	55	Male	Australia	FALSE	NA	NA	NA	77.5284971332266	NA	NA	NA	1	NA	brick	pencil	fish	balloon	grass	asteroid	water	plastic	teacher	motorbike
R_2y9lRsF3VS85iMk	26	Female	Australia	TRUE	NA	NA	NA	84.1918985758509	NA	NA	NA	0	NA	pigeon	date	tease	count	boredom	six	taint	legend	charisma	joint
R_3NzdCDy7KQa18N4	35	Male	Australia	FALSE	NA	NA	NA	77.3551152220794	NA	NA	NA	2	NA	Moon	Plate	Dog	Surfboard	Pencil	Shoe	Car	Tree	Ice	Kite
R_2xKtCDQFLSendnE	26	Male	Australia	FALSE	NA	NA	NA	81.2333693461759	NA	NA	NA	2	NA	Ball	Towel	Toffee	Bluetack	Sunglasses	Trumpet	Floss	Shovel	Vacuum	Carwheel
R_C14kcrREkcNcCiZ	65	Female	Australia	FALSE	NA	NA	NA	79.548200681096	NA	NA	NA	1	NA	Anger	Faith	Dancing	Forests	Relief	Coffee	Travel	Languages	Boots	Spectacles
R_2Pdn1aUGX2PmWXp	55	Female	Australia	FALSE	NA	NA	NA	72.3619797400066	NA	NA	NA	1	NA	big	small	black	excitement	gum	water	book	territory	simplicity	difficulty
R_Rnxnty2SvipMr9T	26	Female	Australia	FALSE	NA	NA	NA	78.2353770520006	NA	NA	NA	2	NA	Door 	ChiLd	Plant	Hammer	Oxygen	Shoe	Blanket	Cot	Apple	Car
R_vdkMKHanLa2I6PL	55	Female	Australia	FALSE	0	0.5	0.25	75.486557283217	1	1	1	1	2	chair	paint	mirror	tube	avocado	ice	sun	jade	salt	smoke
R_3D1EMPlyrmQOI2c	70	Female	Australia	FALSE	NA	NA	NA	79.6915811530891	NA	NA	NA	0	NA	bread	lead	flower	hairpin	dog	eye	rust	toaster	bed	fence
R_cOYJJpCYMKkQ3eh	65	Female	NA	FALSE	NA	NA	NA	88.2150684605308	NA	NA	NA	0	NA	apple 	moon	equator	roadwork	plumage	onomatopea	law court	morgue	fairy	typhoid fever
R_T65lykbatgFmwQF	35	Female	Canada	TRUE	NA	NA	NA	90.3008682209821	NA	NA	NA	2	NA	Dog	Spaceship	Cup	Pencil	Tree	Mathematics 	Microplastics	Terra cotta	Love	Corkscrew
R_AytkqeJjAzzhy4p	70	Male	South Africa	TRUE	NA	NA	NA	80.528724193573	NA	NA	NA	2	NA	letter	stadium	pilot	friend	magistrate	grant	dignity	church	wine	festival
R_u7KjPWhfOWKSg93	35	Male	Switzerland	TRUE	NA	NA	NA	79.5167382629145	NA	NA	NA	0	NA	paper	Moon	Road	horn	cow	panel	laptop	tea	SHOE	snake
R_1BVkVUHzZn82Eag	55	Female	Australia	FALSE	NA	NA	NA	80.9721880636755	NA	NA	NA	2	NA	table	goat	sea	kettle	tree	lighthouse	racquet	coat	eye	child
R_2EuTkdx802Lc7Li	13	Male	Australia	FALSE	NA	NA	NA	85.0708375197081	NA	NA	NA	2	NA	Space 	Agriculture 	Automotive 	Influenza 	Television 	Corporation	Crimson	Utopia	Music	Bucket
R_10pWIrpsXEVxbig	55	Female	Australia	FALSE	NA	NA	NA	72.9200548359326	NA	NA	NA	0	NA	Chair	Roof	Street	Shop	Draw	Gun	Knife	Flower	Kangaroo 	Cement
R_3dLJWPeBSRik3wj	70	Male	Australia	FALSE	NA	NA	NA	82.8145535041889	NA	NA	NA	1	NA	Chair	Lemon	Shovel	Murray cod	Windscreen wiper	Pencil	Watch	Jumper	Beaker	Coffee pod
R_UEMbu5yafdNbEZz	35	Female	Australia	FALSE	NA	NA	NA	79.9853475320907	NA	NA	NA	1	NA	Spoon	Aeroplane	slime	tree	eyeball	soap	ruler	telephone	shoe	pineapple
R_3oLalCMpOTh2r9m	35	Male	Australia	FALSE	NA	NA	NA	79.6848944787468	NA	NA	NA	2	NA	car	tape	spaceship	cow	controller	ring	pipe	knob	shoe	saucepan
R_2qF1cDjj3AK9MAo	70	Female	United Kingdom of Great Britain and Northern Ireland	FALSE	NA	NA	NA	88.4594437710586	NA	NA	NA	1	NA	french polishing 	vexed	peachy	flat foot	waif	clash	jagged	mixed	sateen	think
R_2t4CUGvwHvuRgFC	26	Female	Australia	FALSE	NA	NA	NA	77.6413289918786	NA	NA	NA	1	NA	love	rice	glass	rain	atom	button	leaf	asphalt	cube	gown
R_2e20hJRbiLVSnJi	35	Female	Australia	FALSE	NA	NA	NA	81.3923373818398	NA	NA	NA	1	NA	Friday	girl	holiday	giraffe	clock	paper	strawberry	iceberg	horizon	mountain
R_2VEzrtRFFggM5HP	35	Female	United Kingdom of Great Britain and Northern Ireland	FALSE	NA	NA	NA	81.4884710923902	NA	NA	NA	2	NA	cat	saucepan	desk	car	ball	plant	knife	coffee	icecream	hat
R_1jlc5x9bu9qyhm1	55	Male	Australia	FALSE	NA	NA	NA	85.325803581093	NA	NA	NA	2	NA	llama	tree	office	piano	air	switch	potato	engine	moon	penguin
R_1iqfFHln4TM54zg	70	Female	Australia	FALSE	NA	NA	NA	89.807014025393	NA	NA	NA	2	NA	Serendipity 	Angst	Balloon	Wildflower 	Chassis 	Egg	Comet	Sandal	Rooster	Dream
R_3Pz4rEGBuhx7OrN	35	Female	Australia	TRUE	NA	NA	NA	82.7055028151898	NA	NA	NA	2	NA	book	fridge	star	elephant	plant	plastic tub	finish line	mountain	surfboard	magnet
R_Zko9QmGAV6vde0x	26	Female	Australia	FALSE	NA	NA	NA	77.189290594487	NA	NA	NA	2	NA	Chicken	Door 	Pants	Heater	Dancing	Grass	Lemons	Shoe	Cloud	Fear
R_r1JAdQtiCPcS8gN	55	Male	Australia	TRUE	NA	NA	NA	78.6146346623788	NA	NA	NA	0	NA	Dog	Broom	Box	Desk	tree	Satellite	Molecule	button	Iron	Shoulder
R_r6cp32Ud8GLPd2p	35	Male	Australia	FALSE	3	1.5	2.25	87.6959232347352	2	2	2	1	3	speach	cup	pencil	surfboard	anteater	moon	bottle opener	door	memory	number
R_3E9VtTNTxqSAlGk	35	Male	Fiji	TRUE	NA	NA	NA	77.4003772153741	NA	NA	NA	0	NA	paper	bolt	step	sponge	chair	wheels	rubbish	truck	pie	engine
R_22WIDtbu2OK4L8r	70	Female	United Kingdom of Great Britain and Northern Ireland	FALSE	NA	NA	NA	85.4128686378577	NA	NA	NA	2	NA	desk	dog	beach	rhubarb	wind	acid	gram	friend	shovel	mirror
R_3qWeWlYRMydbIdF	55	Female	Australia	FALSE	NA	NA	NA	87.8202449885153	NA	NA	NA	2	NA	Elephant	Pushbike	Saw	Mango	Circle	Biceps	Automobile	Scissors	Nebula	Ruler
R_1I9PBdCEedzirWy	35	Male	Australia	FALSE	NA	NA	NA	77.2791921382859	NA	NA	NA	1	NA	sock	car	tree	planet	hammer	cloud	roof	watch	hair	thought
R_2thcli2xU8LGtrl	55	Male	Australia	FALSE	NA	NA	NA	80.3310197534128	NA	NA	NA	1	NA	shop	people	car	tree	paperclip	stars	window	battery	clock	dolphin
R_3nUCyVSZf4mDkRs	65	Male	Australia	FALSE	NA	NA	NA	78.2209678065209	NA	NA	NA	1	NA	Hill	Bullet	Leaf	Bicycle	Pencil	Sock	Watch	Book	Person	Hammer
R_AAlK8iTwCsqU8dX	55	Female	Australia	FALSE	NA	NA	NA	79.1604841039294	NA	NA	NA	1	NA	Ballerina	Mushroom	Car	Cricket bat	Mouse	Grass	Elephant	Clock	Toilet 	Box
R_3HZhHYgWPrhnQb9	55	Female	United Kingdom of Great Britain and Northern Ireland	FALSE	NA	NA	NA	62.7754481065841	NA	NA	NA	1	NA	walk	crawl	big	little	bright	dull	happy	crazy	before	after
R_Y6upWcEmmJ3ilHz	70	Male	South Africa	TRUE	NA	NA	NA	74.5856829697178	NA	NA	NA	1	NA	Car	Skateboard	Surfboard	Nose	Eye	Guitar	Rope	Pot	Stocking	Shoe
R_WumEuvKjmcBZQUp	65	Female	Australia	FALSE	0	0.5	0.25	71.1271129903339	0	0	0	1	1	stress	relaxation	swimming	coffee	shopping	sleeping	television	gardening	music	volunteering
R_3fViuHQ0pwJ34pc	55	Female	Australia	FALSE	NA	NA	NA	83.9244613157851	NA	NA	NA	1	NA	Koala	Vacuum cleaner	Centipede	Water	Leaf	Dog collar	Fence 	Swan	Football	Brick
R_31KlQQqPFqUzaU6	35	Male	Australia	FALSE	NA	NA	NA	78.9365239441395	NA	NA	NA	2	NA	cat	door	cloud	electricity	poetry	doctor	space	virus	river	machine
R_2sbu6OwNaX0fB7E	35	Female	Australia	FALSE	NA	NA	NA	83.7945630330415	NA	NA	NA	2	NA	Cat	Air	Car tyre	Brick 	Computer mouse	Magnet	Statue	Postcard	Rosebush	Mountain
R_2EmyBpCHEjiJhTf	70	NA	NA	NA	NA	NA	NA	71.9814134140809	NA	NA	NA	1	NA	walk	swim	think	putt	drive	garden	sister	friend	horse	typewriter
R_3Rr3MBNUh7Mprgl	35	Female	Australia	FALSE	NA	NA	NA	76.0995565070992	NA	NA	NA	0	NA	Rug	Ice	Flower	Antique	Pet	Weather	Library	Elephant	Dust	Embryo
R_27TgmWcoMGU5Byh	55	Male	Australia	FALSE	NA	NA	NA	78.3769897253175	NA	NA	NA	2	NA	hand	sky	science	purple	fire	suction	symphony	wealth	needle	washing up
R_2QA0MNjzarQIhiQ	26	Male	United States of America	FALSE	NA	NA	NA	74.4769296830609	NA	NA	NA	1	NA	Cup	Dog	Face	Guard	Fence	Grave	Lamp 	Cloud	Fish	Car
R_2dF0Fdh0PKx57lx	70	Female	United Kingdom of Great Britain and Northern Ireland	TRUE	NA	NA	NA	88.0590540379108	NA	NA	NA	1	NA	bread hair concertina bristle cheese  skirt  bus   coul  worm  molecule  raindrop  rhinocerus  dust particle  tyre  needle plaster  recipe cushion  coldness concerto haircream spanner screw  stomach hospital brush  cellophane  glue  flour  bathsalts  deadleaf  paint speck  wooden spoon  shop  railtrack  pump  reservoir seaurchin zoo   	cake	garage	zip	pimple	argon	formula	triangle	sea urchin	curve
R_1GHopDTwlrlp6tE	35	Female	United States of America	FALSE	NA	NA	NA	82.3451368936471	NA	NA	NA	1	NA	Pillow	Dumbbell	Handkerchief	Car	Straw paper	Orange	Doorbell	Guitar	Flower	Star
R_3Do4aQWWLYjukId	55	Male	Australia	FALSE	NA	NA	NA	83.6674020093467	NA	NA	NA	2	NA	Sex	Lake	Ruler	Dog	Travel	Statistics	Angst 	Art	Physics	Walk
R_7WcdEykREbt3scN	35	Male	Australia	FALSE	NA	NA	NA	72.9029057990937	NA	NA	NA	1	NA	fire 	ice	live	dead	motion	stillness	light	dark	awake	asleep
R_3oSheued8YwPbFA	35	Female	Australia	FALSE	NA	NA	NA	86.1292799579955	NA	NA	NA	1	NA	book	canvas sail	banana	goldfish	triangle	ballpoint pen	peanut butter	candle	diploma	molecule
R_swhOTLLxtYFTrR7	55	Female	Australia	FALSE	NA	NA	NA	74.482911896138	NA	NA	NA	2	NA	tree	cloud	shoe	box	car	water	nail polish	hat	computer	scissors
R_7WpvtLFsZJLwrqp	35	Male	Australia	FALSE	NA	NA	NA	71.5853984157244	NA	NA	NA	2	NA	House	Child	Planet	Rubber band	Bridge	Tree	Bee	Snake	Phone	Sky
R_31EroQEzBQq3FjJ	26	Female	Australia	FALSE	NA	NA	NA	90.7625574410693	NA	NA	NA	1	NA	Potato	Earbud	Placenta	Peg	Coke	Mailbox	Kerfuffle	Ignition	Bear	Spoon
R_2ypGR7dQMrdjviE	26	Female	Australia	FALSE	NA	NA	NA	77.1181627132353	NA	NA	NA	1	NA	Home	Colour	Rock	Space	Satellite	Book	Dog	Fire	Love	travel
R_1LYHi8NevKSqMrU	55	Female	Australia	FALSE	NA	NA	NA	72.9217415054639	NA	NA	NA	0	NA	hat	umbrella	pen	desk	light	moon	car	shop	river	song
R_2ZKaiX8W4Qktl3z	35	Female	Australia	TRUE	NA	NA	NA	85.3614961928023	NA	NA	NA	2	NA	Armadillo	Serpent	Asteroid	Trapdoor	Pepper	Keys	Bark	Chamber	Toenail	Unicycle
R_25F5lE3WwCNKIMb	26	Male	Australia	FALSE	NA	NA	NA	85.4264427464278	NA	NA	NA	2	NA	apple	tire	computer	monument	cloth	asteroid	child	tree	weapon	pet
R_pPBj1akZOYX2G6B	35	Male	Australia	FALSE	NA	NA	NA	78.2519719075589	NA	NA	NA	1	NA	MaP	GLASS 	paper	start	skeleton	boat	phone	star	roof	midget
R_3iIHsYPexow4F6Z	35	Female	Australia	FALSE	NA	NA	NA	87.4850022739598	NA	NA	NA	1	NA	church	bath	ground	fly	jellybean	newspaper	oxygen	star	moss	internet
R_2wSsqLtUNxeWz8A	55	Female	Australia	FALSE	NA	NA	NA	81.6144268117135	NA	NA	NA	1	NA	car	basketball	leaf	fish	envelope	hamburger	kidney	mitten	kaleidescope	iron
R_VI4VUtOPou5fAGd	35	Male	Australia	TRUE	NA	NA	NA	72.1411699340457	NA	NA	NA	1	NA	Car	House	Earth	Grass	Computer	Hair	Clouds 	Mine	Bang	Programme 
R_3RlIfedWf5dbYWY	65	Female	Australia	FALSE	NA	NA	NA	84.2342334577725	NA	NA	NA	1	NA	banana	didgeridoo	bicycle	book	false teeth	wall clock	fingernail polish	ears	lake	person
R_3s7EMcRiZCWvelE	35	Male	Australia	TRUE	NA	NA	NA	86.3132177940792	NA	NA	NA	2	NA	Lion	Toenail	Swimming cap	Coaster	Peanut	Nostril	Window	Star	Hydrogen	Sword
R_2tFD9EoWaQsiMb4	35	Female	Australia	FALSE	NA	NA	NA	85.8928100804665	NA	NA	NA	1	NA	sock	chair	door	worm	geode	eyelash	lollipop	bicycle	texta	water
R_1ewKpGbDXSHAsSi	35	Female	Australia	FALSE	NA	NA	NA	85.473436702575	NA	NA	NA	2	NA	jelly fish	umbrella	motor bike	cloud	vommit	gold	oven	radio	grass	hydrochloric acid
R_1BPh2IsodJNCYEQ	26	Male	Australia	TRUE	3	3	3	74.1077507003432	1	1	1	1	2	Cat	Tyre	Sky	Shirt	Picture	Finger	Cake	Coral	Net	Sheet
R_2ylV5kum8ZURhmV	55	Male	Australia	FALSE	NA	NA	NA	74.6588561506498	NA	NA	NA	1	NA	dust 	swallow	computer	flame	blood	moon	frog	spill	crevice	fingerprint
R_2s5OfPg8mqEVQhj	65	Male	Canada	TRUE	NA	NA	NA	81.2051293794953	NA	NA	NA	0	NA	dog	desk	lamp	ruler	fish	uranium	calculater	moon	rock	wave
R_Y699UtMlNBZpW1j	35	Female	United Kingdom of Great Britain and Northern Ireland	FALSE	NA	NA	NA	87.0806132487598	NA	NA	NA	2	NA	Cat	Asteroid	needle	Spreadsheet	Alcohol	Lettuce	Fingernail	Proton	Rubber	Mulch
R_1OQe55LH1p3HLXo	35	Male	United States of America	FALSE	NA	NA	NA	74.9433145636604	NA	NA	NA	1	NA	Shoe	Brick	Car	Volcano	Moon	Ocean	Plane	Hammer	Pen	Glue
R_1QlniB3Csmc8Y4f	35	Female	Australia	TRUE	NA	NA	NA	87.33932712071	NA	NA	NA	2	NA	apple	paperclip	toilet	ball	television	harvester	usb	lipstick	globe	hydrogen
R_UQIFajBF24vPtS1	26	Female	NA	FALSE	NA	NA	NA	72.9751859037649	NA	NA	NA	1	NA	cat	box	fan	nut	nest	oats	basket	calculator	fish	candle
R_3O7aoqODlTiDUH8	35	Male	Australia	FALSE	3	1.5	2.25	87.0760521541039	1	1	1	1	2	rabbit	shoehorn	blancmange	fart	forest	tunnel	nailfile	tarmac	thermometer	rangehood
R_1FagsCODsem1qIQ	35	Female	Australia	FALSE	NA	NA	NA	51.0180949455216	NA	NA	NA	0	NA	Fast	Slow	Up 	Down	Across	Near	Far	Full	Empty 	Still
R_3D7LSPWVi9riRm2	65	Male	Netherlands	TRUE	NA	NA	NA	89.9139475742621	NA	NA	NA	1	NA	zebra	string	fork	chair	spectrograph	ether	aether	soul	Uranus	mountain
R_2ruyPaSRt6CApSo	55	Male	Australia	FALSE	NA	NA	NA	74.7205064410255	NA	NA	NA	0	NA	frank	silly	friendly	apple	juice	known	house	security	trees	lake
R_Rkak46fGmbFuttD	35	Female	Australia	FALSE	NA	NA	NA	76.947512725989	NA	NA	NA	1	NA	Flower	TV	Fridge	Book	Dress	Toy	Car	Envelope	Hospital	Boat
