id	age	gender	rt	aut.flexibility.1	aut.flexibility.2	aut.flexibility	aut.originality.1	aut.originality.2	aut.originality	aut.fluency.1	aut.fluency.2	aut.fluency	bag.appropriateness.1	bag.appropriateness.2	bag.appropriateness	dat	valids	word.1	word.2	word.3	word.4	word.5	word.6	word.7	word.8	word.9	word.10
R_3IYaDXI9zyFVgEZ	19	Male	240.148	1.6	1.2	1.4	0.6	1	0.8	11	9.2	10.1	5.91666666666667	4.91666666666667	5.91666666666667	78.5703052544878	10	photo 	air 	bottle	cord	basketball	door	umbrella	shapes	towel	pin 
R_3HHucl2vKqmCxnN	18	Female	241.158	3.2	3	3.1	1.8	0.6	1.2	1	1.8	1.4	5.11538461538461	3.90384615384615	5.11538461538461	72.0959881231898	8	red	tree	polar bear	car	dirt	drink bottle	bed	jacket	oven	bin
R_DzNTekoA8n75A1H	18	Female	240.07	5.2	5	5.1	2.6	1	1.8	6.8	6.6	6.7	NA	NA	NA	81.6517149319961	10	apple	road	pen	shorts	pillow	eyelid	gold	ocean	wall	music 
R_3qIEED4O8b3d7bG	19	Female	240.017	4	4.6	4.3	1.6	0.8	1.2	1.2	2	1.6	5.54838709677419	4.32258064516129	5.54838709677419	80.7926754866328	8	hair	miso	socks	light	pitbull	daisies	tennis	clock	basement	chainsaw
R_28YXqUfFuh5n6Gw	19	Female	240.014	0.2	0.6	0.4	0	0.2	0.1	2.4	2.2	2.3	4.97777777777778	3.91111111111111	4.97777777777778	71.8501023593403	10	cat	sky	bag	mop	mirror	paper	scarf	laptop	wood	bell
R_Zh11URsMrzkj6Cd	19	Female	240.026	0.8	0.8	0.8	0	0	0	1	1	1	5.07142857142857	3.57142857142857	5.07142857142857	84.1151026210615	10	teacher	murderer	guitar	deaf	mouse	garlic	fan	mall	hamburger	dead
R_R7Xc4x9KjiOcbsJ	21	Female	240.007	3.8	3.8	3.8	1.2	1	1.1	1	1.8	1.4	5.66666666666667	4.45454545454545	5.66666666666667	81.9706899601789	10	bus	radio	kidney	rug	desk	paint	love	sunflowers	crown	constitution
R_1NyJ4allLfeJtr6	23	Male	241.194	3	2.6	2.8	2.8	0.4	1.6	7	6.6	6.8	4.58181818181818	3.32727272727273	4.58181818181818	67.7344629452342	10	keep	leave	fly	happened	always	flabbergasted	mysterious	bullied	disappointed	flour
R_2BrgtW92VteebD5	19	Female	240.01	1.6	1.8	1.7	0.4	0.6	0.5	1	1	1	5.09090909090909	3.93939393939394	5.09090909090909	81.2441714684523	10	magic	verb	phone	hair	lights	country	lead	smile	stick	blue
R_3m8A7KptOiIg9WE	17	Female	179.199	0.2	0.4	0.3	0	0	0	1	0.8	0.9	5.93333333333333	4.62222222222222	5.93333333333333	78.5053542327313	10	baby	hate	phone	apple	number	pen	empathy	cow	carpet 	polish
R_1PdwYBAHoeVmAKc	19	Female	240.006	0.4	0.8	0.6	0	0.4	0.2	1	1	1	2	1	2	77.6578192554769	10	tissue	lighting	house	ghost	beer	grave	flower	doctor	court	white
R_2flDW83WFlCPG0T	18	Female	240.012	0	0.2	0.1	0	0	0	1	0.8	0.9	4.14285714285714	2.71428571428571	4.14285714285714	71.2747282215527	10	love 	tissue	flowers 	cream 	light	salt 	dog 	book	jacket 	basketball 
R_3fGYKKGiVuvtVIP	18	Female	240.102	3	3.4	3.2	1.6	1.4	1.5	1	1.6	1.3	5.88	4.2	5.88	77.5363459828354	10	computer	world	toad 	book 	ring 	plane 	house 	tree	slide	music 
R_2fxkdeTbFVyyGMd	19	Female	240.102	0	0.6	0.3	0	0	0	2.2	1.8	2	NA	NA	NA	81.5323397517204	9	coconut	dog	comb	mask	candies	watch	calculator	pencil	solar panel	seasoning
R_tFG3m5AKKc70W4h	18	Male	240.212	0	0.8	0.4	0	0.2	0.1	7.6	6.8	7.2	NA	NA	NA	76.3035799066226	10	apple	apartment 	bones 	coffee	cat	bottle 	calculator	pool	gate	doctors
R_9pn2KJP3EKnAxUZ	18	Female	240.099	2.4	2.8	2.6	0.4	0.2	0.3	2.6	3	2.8	4.26785714285714	2.98214285714286	4.26785714285714	73.0679446387859	10	wind	desk	ball	house	back	teacher	nail	basket	dog	ear
R_2CC8D2chTULgz7E	19	Female	240.108	9.2	7	8.1	9.8	4.4	7.1	14.2	13.2	13.7	6.85714285714286	6.35714285714286	6.85714285714286	89.4899147340939	10	bouzouki	gas	rain	circus	book	pyramid	yacht	stick	computer	shack
R_1LNLaYKwkhEyqDK	18	Female	240.009	0.4	0.6	0.5	0	0	0	1	0.8	0.9	4.35714285714286	3.26785714285714	4.35714285714286	79.355086616817	9	people	theory	apple	ice cream	ring	medal	jar	glass	silk	clothing
R_zdHwbRyvoi6Pd8R	20	Female	53.244	6.8	6.4	6.6	3.4	5.2	4.3	7.2	7.2	7.2	5.75	4.70833333333333	5.75	78.0088599239077	10	dice	blue	cat	cup	book 	mum	chair	school	apple	fake
R_2curxfvbrawWwdm	19	Male	240.121	1.2	1.2	1.2	0	0.2	0.1	1	1	1	4.05882352941176	3.23529411764706	4.05882352941176	73.3343912377244	10	Write	Chicken	Magic	Game	Language 	People	Father	Election 	Subject 	Hand
R_rfhtsYMoHrzDp2F	20	Male	240.014	6.2	6	6.1	5.8	5.8	5.8	11.2	10.4	10.8	4.66101694915254	3.10169491525424	4.66101694915254	74.2116960031646	9	butterfly	bee	meaning	space	bet	orange	george	wee	yew	baby
R_1CfjPNHNiIJocDu	20	Female	240.011	1.4	1.2	1.3	0	0	0	2	1.8	1.9	4.22641509433962	2.84905660377358	4.22641509433962	78.7743233499073	9	house	flower	skirt	axe	cage	lemon	money	medicin	paper	detergent
R_2164et1cX4V25eV	20	Male	240.009	2.4	2.4	2.4	1.2	0.8	1	3.2	3	3.1	5.81818181818182	4.45454545454545	5.81818181818182	82.6260517573073	10	water	triangle	book	nail	truck	shoelaces	carpet	onion	bracelet	underwear
R_2Eg7Uq3lSKZQm7M	19	Male	240.102	5.2	6.2	5.7	3.2	1.6	2.4	6.6	7.6	7.1	4.98181818181818	3.92727272727273	4.98181818181818	84.6212070124845	9	Plane	Beach	Address	Love	Biscuit	Dog	iPad	Insecticide	Pillow	Cobblestone
R_b8kZzRhnoN1gw81	19	Male	240.161	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	80.1130533927963	10	car	universe	group	sad	bed	bin	relationship	outstanding	head	window
R_12x4lCq9gcHG4cg	20	Female	241.849	3	3.2	3.1	1	1.8	1.4	5.4	4.4	4.9	6	5	6	74.8042401103746	10	chair	pool	pencil	mouse	painting	glasses	iron	bag	chips	bridge
R_XArL0au9O7sODyV	18	Female	240.07	1.8	1.8	1.8	0	0	0	1.8	1.8	1.8	NA	NA	NA	81.4979983671081	10	mailbox 	pot	bed	bridge	jacket	star	ocean	curtain	bag	elephant
R_3oTHuZGvOzUxHFh	19	Female	240.111	2.4	3.2	2.8	0.6	0.4	0.5	3.6	4.4	4	6.16666666666667	3.66666666666667	6.16666666666667	77.8503070186291	10	wall	shoe 	floor	study	maid 	clown	tree	death	pants 	fingers 
R_3MLEPJ09SvrMcTa	20	Female	240.083	3.6	4.2	3.9	1.2	1.6	1.4	4.4	4.8	4.6	6.03030303030303	4.54545454545455	6.03030303030303	65.6503540419397	10	food	place	idea	comfort	living	intelligence	beauty	travel	conversation	love
R_3siDtX3dAURW9Kw	19	Female	240.015	0.4	0.2	0.3	0	0	0	14.6	13.6	14.1	5.61904761904762	4.35714285714286	5.61904761904762	78.115490930421	10	cow	jacket	wind	kissing	chair	pasta	rainbow	plane	curtain	vein
R_2Vl6LnkdQ0cdgem	17	Female	240.027	2.6	2.6	2.6	1.2	0.2	0.7	3	3.2	3.1	5.4	3.88	5.4	80.3359172528698	10	pen	noise	running	clouds	tape	comedy	crowds	flowers	absent	cans
R_54iWMq6Xyngw5Oh	17	Female	240.018	2	2.6	2.3	0.6	1.2	0.9	2.4	2.8	2.6	4.8	3.26	4.8	79.8262673651888	9	white	animation	motivation	countryside	ice-cream	school	complex	vacation	dream	accordion
R_1geE6Cb8CJIlQIy	18	Female	241.878	0.2	0.8	0.5	0	0.4	0.2	1	1	1	NA	NA	NA	77.7823401703721	9	table	pool	ring	giraffe	knife	tack	mud	toddler	car	tv
R_111kDn2r9PJRRnE	18	Male	240.012	1.8	1.4	1.6	0.8	0.6	0.7	2	2	2	NA	NA	NA	81.306321532022	10	Den	Wire	Lawyer	Black	Revolution	Darkness	Light 	Happiness	Strength	Thinking
R_2RUhnUL9VN4YTFP	20	Male	240.011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	76.2426983032908	9	people	chair	fish	lake	computer	history	France	shirt	moon	milk
R_2qkoE5JAao3P1WU	19	Female	240.008	3.8	4.2	4	1.6	1.2	1.4	6.6	6.4	6.5	5.72727272727273	4.36363636363636	5.72727272727273	68.9164980891205	10	place 	hand	food	emotions	run 	picture 	farm 	school	hair 	sport 
R_3GquG0AzZL6Xlfa	20	Female	240.156	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	70.6855155172802	10	pen	cream	straw 	lamp	tree	clothes	brush	knife	window	cloth
R_5pUxtGpDkGQWTZf	18	Female	69.704	0.2	0.4	0.3	0	0.4	0.2	1	0.8	0.9	7	4	7	70.6765174865723	10	cat 	blanket 	house	tree	car	bike	laptop	shoe	stage	phone 
R_28LJzihi5nfixJC	18	Female	240.015	0	0.6	0.3	0	0.6	0.3	6.6	5.6	6.1	5.38636363636364	3.81818181818182	5.38636363636364	78.5960018457401	10	pig	bottle	notebook	car	god	check	type	horror	needle	line
R_2YySCHkKDkkWK9B	19	Male	240.111	1.8	1.6	1.7	0.6	0.2	0.4	2.4	1.8	2.1	NA	NA	NA	84.9808265233324	10	laptop	brownie	road	pimple	paper	psychology	brown	rubber	tree	marker
R_2QrB8leByMCBfT5	20	Female	240.011	0.4	0.4	0.4	0	0	0	1	0.8	0.9	5.52941176470588	3.64705882352941	5.52941176470588	76.1816150730564	8	rabbit	math	TV	oscan	airport	friend	child	parent	game	bird
R_01BQn8K7Pi9Rayl	20	Female	240.019	1.8	1.8	1.8	1	0	0.5	1.8	1.8	1.8	4.6875	3.47916666666667	4.6875	81.2885143040192	10	doll	homework	comics	maths	holiday	sea	roommate	pad	water	toilet
R_24waSrxtfLapDP0	19	Male	240.092	2	2.4	2.2	1.2	1	1.1	2.2	2.4	2.3	NA	NA	NA	75.5867553076574	10	Pen	Ball	Street	Ear	Bird	Snow	Toothbrush	Food	Land	Electricity 
R_3lAFWiBT1vFPagB	19	Male	240.008	4.6	4.6	4.6	3.6	2.4	3	1	1.4	1.2	6	5.33333333333333	6	86.1935320487689	9	dragon	ice	plant 	highlighter 	student 	road	commet 	squid 	love 	stomach 
R_3k5hUHsCE0FjJrh	19	Female	240.169	2.4	2.2	2.3	0	0.4	0.2	3.8	3.2	3.5	4.86206896551724	3.32758620689655	4.86206896551724	77.9597905420122	10	dog	flag	sun	purple	blush	keyboard	singing	hair	fabric	hotel
R_3nIUg3zsvUUMrzd	19	Female	240.015	1.2	1.4	1.3	0	0	0	1.2	1.4	1.3	5.25	3.83333333333333	5.25	86.7324659113018	10	dandelion	cheesecake	odor	highlight	settings	spray	toolkit	book	tray	pants
R_4J8m7RT3rcJ2rHb	19	Female	240.006	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.23255813953488	3.6046511627907	5.23255813953488	79.7344058042481	10	cat	box	foot	gel	pen	mother	vacancy	light	water	rope
R_UgQCwKS5A1OsM8h	18	Female	240.009	0.2	0.4	0.3	0	0	0	1	0.8	0.9	NA	NA	NA	75.3916611983663	8	car	park	toy	cake	medical	study	Japan 	Arthur	figure	GP
R_3dQCtNRTIkOXGm3	19	Female	240.156	2.2	2.6	2.4	0.4	0.2	0.3	3	3.2	3.1	5.8	4.6	5.8	73.4671874415307	10	cat 	book	clothes 	phone 	table 	bottle 	cake 	wind 	sound 	flower 
R_10qtK37pJxcdYC2	21	Female	480.166	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	81.2673781200179	8	bowl	sky	licorice	pot	forest	alien	shin	scientologist	carbon monoxide	cuticle
R_32V0GhHUtT9apFb	18	Male	240.015	0.2	0	0.1	0	0	0	3	2.8	2.9	5.90476190476191	4.95238095238095	5.90476190476191	76.4935409738904	10	door	school	car	water	biology	land	star	flag	donkey	music
R_OAVTO3upDEKi3w5	22	Female	240.009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	77.1135206733431	10	shoe	cow	house	moon	dancer	phone	glasses	road	book	game
R_3KCrdib6XHF9gdo	18	Male	240.009	0	1.4	0.7	0	1.2	0.6	4	4	4	7	7	7	89.4947632836799	10	drought 	cortisol 	hyperbole 	rust	plants	earphone 	bottle 	ambition 	surgery 	NA
R_3Kr0Wp0jemFRA5v	19	Male	240.007	1	0.8	0.9	0.6	0	0.3	5.8	5.4	5.6	NA	NA	NA	73.7522548153287	10	cat	house	pencil	ice	grass	wind	gravity	male	life	skin
R_8e8JQcJ5JTSoJhf	19	Female	240.026	4	4.6	4.3	1.6	2.8	2.2	1	1.6	1.3	4.59259259259259	3.51851851851852	4.59259259259259	78.03618244472	10	apple	sun	blanket	statue	travel	university	toy	grandmother	time	purple
R_DtWwqkKNCbIvNlv	19	Female	240.023	1	1	1	0	0	0	1	1	1	5.125	4.125	5.125	75.1005826251847	10	clock	countdown	gear	watch	late	measure	seconds	hours	wall	table
R_2a8DmIIY9bJE4NY	19	Female	240.009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	78.7289749653566	8	bull	calculator	candle 	dairy 	chip	cat	fridge 	table	drink bottle	t shirt 
R_2aELtRUHKNLF6eP	19	Female	240.021	3.6	3.8	3.7	2.2	2.4	2.3	1	1.4	1.2	5.4375	3.79166666666667	5.4375	74.7965877609594	10	cow	bottle	time	mum	barbie	love	graduation	beauty	sponges	power
R_11iN1qjG6Nj8tqD	19	Male	240.023	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	64.5645005362374	9	sky	water	mud	bird	flower	human	sun	bee	cock	DNA
R_1hF1mDqW0t7WDTv	19	Male	240.012	5.8	6.2	6	7.2	6	6.6	11.6	11.6	11.6	5.57142857142857	4.21428571428571	5.57142857142857	86.1619190800758	10	banana	eraser 	telephone 	metal 	cloud 	wristband 	fur 	hospital	cord	numbers
R_1FtFMZKWBRAgeIo	18	Female	240.224	1.2	1.4	1.3	0	0.4	0.2	1	1.2	1.1	4.79545454545455	3.56818181818182	4.79545454545455	65.723847988106	10	animals	Fruits	Vegetables	Human	Earth	Road	Plant	House	School	Politics
R_2Y5JmSCtHIpg6yQ	21	Female	240.014	1	1	1	0	0	0	1	1	1	6.42105263157895	5.31578947368421	6.42105263157895	78.6371624895504	10	phone	bed	water	perfume	chips	shoes	tape	tampon	doll	pen
R_1gSHO45ytro9UdW	19	Female	240.14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	71.1246232901301	10	bottle	phone	table	map 	floor	hand	dog	hat	hoop	tree
R_1kOJ5Usdg2JhxvR	18	Female	240.051	4.4	4	4.2	2.4	1.4	1.9	5	4.8	4.9	NA	NA	NA	81.6766544112137	8	cup 	pig	mountain	snot 	berries 	the queen	lingerie 	electric guitar 	karate 	baby
R_22SbuSjFRwK3TBL	19	Female	240.16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	74.8068786447956	10	cat 	desk 	run	 shirt 	can't 	greet 	sticker 	objection 	oblivious 	tree
R_2dE1gmY21cQEMDj	18	Female	240.111	3.2	3.4	3.3	1	1.8	1.4	4.6	4.6	4.6	5.01923076923077	3.90384615384615	5.01923076923077	68.5622262812796	10	snow	table	car	hills	sky	river	dust	doll	foam	crab
R_2aluzJD6nz9bXbO	20	Male	240.013	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	73.316245774428	10	book	sky	lamp	water	fire	wood	shoes	cap	hand	laptop
R_3sBnC1yFJKDezRf	20	Female	240.119	3.6	3.6	3.6	2.4	0.6	1.5	5.8	5.6	5.7	4.6	2.83333333333333	4.6	79.5761779837665	10	mop	bag	rat	travel	alien	desk	cord	jump	cry	shoe
R_af1Ksg65lWMgEA9	20	Female	240.108	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	89.6486256005509	10	Toe	Parliament	Mars	Atom	Syringe	Text	Vent	Dualism	Swimming	Saxophone
R_3RxNLnyjRYDfl6T	18	Female	240.117	0	0	0	0	0.4	0.2	7	6.8	6.9	NA	NA	NA	81.0898004188424	8	table	sky	zoo	water	handphone	oreo	violin	finger	batman	blueberry
R_sSAQtzGAA4DSt2N	18	Female	240.15	2.2	2.2	2.2	0.6	0.2	0.4	1	1.4	1.2	6	5.1304347826087	6	75.8101913191023	9	cat	book	beach	chair 	laptop	underwear	friend	blanket	toy	washing basket
R_1CJgYpZ9uTk4ed4	20	Female	241.202	3.4	3.4	3.4	2.2	1.6	1.9	4.4	4.8	4.6	5	3.94736842105263	5	86.9228114950515	10	rat	cauliflower	hamper	carpet	cancer	silicone	celebrate	holes	 block	chew
R_2Y9sgOVwPgX3NVr	16	Female	240.205	1	1	1	0	0	0	1	1	1	4.80487804878049	3.48780487804878	4.80487804878049	73.3053281903267	10	family	work	book	cloud	friend	farmer	animal	river	tree	star
R_27vwpR3uXW5WENI	19	Male	240.062	0.8	0.2	0.5	2	0.2	1.1	4.8	4	4.4	4.80392156862745	3.58823529411765	4.80392156862745	74.9961457791783	10	tissue	clothes	water	fire	music	egg	spoon	money	phone	mother
R_3g29Ti2pWBvVqZu	19	Female	240.1	0.8	0.8	0.8	0	0.6	0.3	7.8	6.6	7.2	5.31707317073171	4.24390243902439	5.31707317073171	79.7810300563773	9	fire extinguisher 	bedroom	coffee	uniform 	ambulance	glasses	tiles	mud	vineyard	towel
R_3hbA1DldJ1WUf9j	19	Female	240.109	7	7	7	4.8	4.4	4.6	11.2	10	10.6	4.85714285714286	3.57142857142857	4.85714285714286	85.981016443111	7	himalayas 	mirror 	twitter 	dream	coriander 	doctor who 	tennis 	slime 	clown 	zeus 
R_1FQXi3T8BMNlPqA	19	Female	240.012	0	0.2	0.1	0	0	0	1	0.8	0.9	NA	NA	NA	78.8194846184481	10	moon	turtle	desk	singer	tea	dust	pool	pants	lipstick	beard
R_1li1u6Kq8SGJ5sR	19	Female	240.012	0.6	0.8	0.7	0.4	0	0.2	1	1	1	4.73584905660377	3.52830188679245	4.73584905660377	81.8171581164712	10	table	dog	chemistry	teaspoon	rain	mother	ring	grass	bag	car
R_w14tTVfBbJjFONP	24	Male	240.108	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	81.5573906537057	10	plane	bread	Mother	wand	pig	leprechaun 	television	flute	nail	ghost
R_21FYz17nGUqKiRq	18	Female	240.018	2.6	2.6	2.6	1.2	1.2	1.2	3.4	3.2	3.3	5.48484848484848	4.90909090909091	5.48484848484848	82.3540493446801	10	earphone	flower	thong	temple	socket	key	bubble	note	port	tap
R_1pSxnULoleStPAd	19	Female	240.019	6.4	6.6	6.5	3.6	3.2	3.4	8.8	9.2	9	5.75	4.78571428571429	5.75	85.7369151897728	8	desktop	shoe	cupholder	crochet hook	candlewax	sieve	pipe	lightbulb	fountain	nib
R_25R71XYUH5j0zl3	20	Male	240.067	1.4	1.8	1.6	0	0	0	1	1.4	1.2	4.9622641509434	3.43396226415094	4.9622641509434	82.6003633616936	10	phone	mine	tissues	aliens	airplane	bombs	flags	ball	wolf	ocean
R_rpqYpFygDntuZvH	19	Female	240.113	0.4	0.4	0.4	0	0.6	0.3	1	0.8	0.9	NA	NA	NA	71.3246403705506	10	people	animal	hospital	school	car	phone	dress	hair	bed	window
R_2OSUYghXwOgk06Y	19	Female	240.01	1.2	1.2	1.2	0.2	0	0.1	1	1	1	NA	NA	NA	81.7602218793971	10	shoe	bad	alcohol	swimming	study	parachute 	seafood	death	wedding	babies
R_2AToiACneZTiWnX	18	Female	240.014	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.83333333333333	5.27777777777778	5.83333333333333	76.2453033100991	10	website	bottle	trash	cake	light	table	phone	tissue	book	water
R_2qBExsjDzgoYGAw	20	Male	240.123	0.8	1	0.9	0	0	0	1	1	1	NA	NA	NA	45.9027852330889	10	time	people	thing	day	life	women	way	road	books	child
R_1E52pcusvCfGsst	19	Female	240.094	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	75.7599148189738	9	car	tree	sky	oean	glasses	picture	chopsticks	cup	pen	speaker
R_3EtyJn0UI4NVu7I	19	Male	240.211	4.2	3.6	3.9	3.8	1.2	2.5	6.6	6.4	6.5	5.58695652173913	4.6304347826087	5.58695652173913	79.1387047441233	10	lamp 	grass	brick 	throne	car	hammock	pet	geyser	tube	umbrella
R_3HTglMTjSyS7mRN	19	Female	240.016	1	0.8	0.9	0.4	0	0.2	4.8	4.6	4.7	5.36666666666667	4.43333333333333	5.36666666666667	84.4880774617195	9	helmet	pen	soup	scales	alarm 	death	book	australia	skipping 	fire
R_1jHDm1Q6ylzsFqU	18	Female	240.09	0	0.6	0.3	0	0	0	4.8	4.2	4.5	5.21875	3.59375	5.21875	76.631942888101	10	necklace	pot	lock	deck	gum	pencil	light	station	cheque	tree
R_265PG9Wo0erBYru	19	Female	240.009	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.02941176470588	3.79411764705882	5.02941176470588	72.9150421917439	10	cat	table	sofa	girl	bottle	building	school	blanket	basketball	nail
R_2B8qC12UFHB9OGN	18	Female	240.178	2.6	3.2	2.9	1	1	1	3.6	4	3.8	5.28260869565217	3.91304347826087	5.28260869565217	80.9557963694845	9	bicycle	music	colour	bag	crow	baby wipe	lamp	wiring	magnet	vents
